placeId,title,tags,description
10,Οινοσχολείο - Μουσικό Μεζεδοπωλείο - Ζωντανή Μουσική,restaurant|food|point_of_interest|establishment, THE MOST FUN MUSIC TAVERN SHOP! NEVER THE ENTERTAINMENT WAS SO SUFFICIENT! Its name is not accidental. Years ago it was a school. It is a 100-year-old stone building that has been operating for the last 20 years. "It exudes warmth and is addressed to people with passion and opinion. The music is live and you will listen to old and new folk songs with the result that in the early morning hours the WINE SCHOOL is transformed into a school of dance fun and entertainment.
11,Eridanus Hotel,restaurant|food|point_of_interest|establishment,Offering a free private carpark a steam room and a sun terrace Athenaeum Eridanus Luxury Hotel is set 650 metres from Psyri. Set within a few minutes' drive from Alsos it is an unique accommodation to stay in Kerameikos district of the city.The venue is situated 1 km from Athens city centre and 40 km from Eleftherios Venizelos airport. Guests will be 15 minutes' walk from Parthenon. Staying at this hotel you'll be near Bouleterion and Museum of Illusions Athens.A number of elegant rooms with a stunning view are also available.A buffet breakfast is served at the bar. On site guests will find a Michelin-starred restaurant that offers specialities of Greek cuisine. The café bar prepares a wide variety of tea and coffee. Middle Eastern Mediterranean Greek and Deli delights can be enjoyed at Ta Karamanlidika tou Fani located in the area. In order to save some money you can use public transport — Thiseio tube station can be found 400 metres away. A satellite LCD TV and a garden are provided for your leisure time. Alternatively guests can exercise in a gym facility.
12,Cafe Boheme,restaurant|cafe|food|point_of_interest|establishment, Bistro style restaurant/bar serving food that embodies the best of the Mediterranean. and beyond! A selection of fine Greek wines are available to accompany your food. The cozy and relaxed atmosphere make Boheme ideal for every rendezvous throughout the day or night. A favorite with the locals it has a rocking bar great for afterwork drinks and in the evenings the best DJ's in town set the mood
13,ΕΣΤΙΑΤΟΡΙΟ ΔΑΦΝΕΣ,restaurant|food|point_of_interest|establishment , Daphne's is a classic in every sense of the word located in Plaka and the preferred destination of visiting public figures from the international political scene and business world. Major tourist agencies throughout the world regularly recommend Daphne's as one of the top choices for Greek gourmet cuisine. Daphne's has had truly select customers over the years and has been chosen to host meals for political leaders such as Bill and Hilary Clinton. The cuisine has a Mediterranean accent with a touch of creativity: classic starters as well as meat and fish dishes with a nouvelle touch resulting in a truly impressive gastronomical experience
14,Τα Πέντε Πιάτα,restaurant|food|point_of_interest|establishment, restaurant|food|point_of_interest|establishment
15,El Convento,restaurant|food|point_of_interest|establishment, The restaurant El Convento Del Arte in Metaxourgeio is a special place with Mediterranean cuisine. It is a hangout for artists and people who love art and good food. At El Convento Del Arte enjoy unique evenings of taste and entertainment with theatrical or live music acrobatics and other events that accompany your food or drink. Bright red classic furniture chandeliers and atmospheric decoration reminiscent of Baroque create a space that looks like it came out of a movie. At El Convento Del Arte you will taste ravioli stuffed with beef tail risotto with a variety of forest mushrooms chicken breast cooked in a crust of prosciutto and aromatic pendants
16,BRASSERIE ΒΑΛΑΩΡΙΤΟΥ Α.Ε.,restaurant|food|point_of_interest|establishment, The Brasserie of Sofia Pouloudi in Valaoritou has been a "must" hangout in the city center since 1999 and a favorite meeting place for journalists  politicians  artists  lawyers  businessmen  bankers  but also everyday shoppers!The space is also available for special events  business dinners and festive parties.
17,Εστιατόριο Αθήρι,restaurant|food|point_of_interest|establishment, Athiri restaurant first opened in 2004 by chef Alexandros Kardasis in Korydallos while in october 2007 it moved to Kerameikos at the old neoclassical home on Plataion street with its full-of-green yard. The restaurant's philosophy is based on creativity which combines greek/Mediterranean tradition with modern progress and perspective
18,Piu Verde,cafe|bar|restaurant|food|point_of_interest|establishment, In the Papagos Grove only ten minutes from the center of Athens in an idyllic location full of pines artificial lake and running water that really makes you get away from everything you are used to so far. Here you can enjoy your coffee food and drink in the enchanting aura of the special landscape.
19,Ναυτικός Όμιλος Αλίμου,restaurant|food|point_of_interest|establishment,In the enchanting bay of Vouliagmeni  in the facilities of the Nautical Club of Vouliagmeni  operates the restaurant "Omilos" with stunning views  especially on nights with a full moon.
20,Eleas Gi,restaurant|food|point_of_interest|establishment, Through a delicious journey through time  the Greek land and the products it gives  the customs and habits  but also through modern interventions in the traditional cuisine  whose primary purpose is to refresh  emphasize and highlight even more the Delicious references to the deepest roots of the Greek culinary tradition  bring to your plate a special variety of excellent delicacies  with seasonal products only  a gastronomic trip to Greece where the flavors follow each other and make friends. of life.
21,tavern Jordan,restaurant|food|point_of_interest|establishment, The host was able to get a table for us quickly. That was very important as we had been traveling for nearly 20 hours. Live local music that still allowed for conversation.We had stuffed vine leaves outstanding and fried cheese with honey which was equally tasty and outstanding.Service was good and quick. No one rushed us and the trio who were the live band never took a break so the entertainment was more than my normal experience.Seemed to be a safe neighborhood as we walked back late.
22,V1935 Luxurious Apartments,cafe|lodging|restaurant|food|point_of_interest|establishment, Behind V 1935’s heavy iron door  the building's entrance is decorated with colorful orange  black and white marble tile  a reflection of its glorious past  with a reception in the lower level and a roof garden on the 6th floor where you can be served all day  from breakfast to late night drinks and tapas.
23,TGI Fridays,restaurant|food|point_of_interest|establishment,TGI Fridays is an American restaurant chain focusing on casual dining. The name is asserted to stand for "Thank God It's Friday" although as of 2010 some television commercials for the chain have also made use of the alternative phrase "Thank Goodness It's Friday."
24,Υάδες,cafe|restaurant|food|point_of_interest|establishment,Packed Food  Reservations  Outdoor Seating  Buffet  Seats  Parking Available  Privileged Parking  Wheelchair Accessible  Alcohol Serving  Accepts American Express  Accepts Mastercard  Visa Accepts  Digital Payments  Free Cash  Free WiFi
25,Only1 Cafe,cafe|meal_delivery|meal_takeaway|restaurant|food|point_of_interest|store|establishment,Great atmosphere  reasonable prices and professional staff  all to guarantee your one hundred percent satisfaction. We are here for you  from morning to night  for breakfast  for business meetings  offering you soft drinks and snacks.
26,Σκόλιον - Skolion,restaurant|food|point_of_interest|establishment, The rebetika songs have their honor in Skolion  by Dino Konstantinidis and his musicians. As for the food  you will try rustic flavors and a variety of snacks. Moderate space  good food. Super music. Try not to go on Friday or Saturday night because it is a waste. Once we went Sunday and we were a few people we had a wonderful time.
27,Pizzeria Romas,restaurant|food|point_of_interest|establishment,Pizzeria Romas is a family business that with passion and love  offers you the best genuine Italian pizza in wood oven  that you have tasted! The process of creating our pizza is a ritual  starting from the creation of the dough  the maturation  the portioning  the opening of the dough in the hand  the secret recipe of the tomato sauce from fresh Greek tomatoes and Italian tomato  the fresh and always fresh our ingredients and of course culminates with the baking of pizza in our traditional wood oven We keep unchanged the recipe of the 17th century  when the creation of pizza first began in Italy  with the same traditional way of baking and making dough. Our wonderful place at 77 Nikolaou Dimitrakopoulou with the spectacular wood oven and the eclectic atmosphere is the best setting to complete your delicious journey in Italian cuisine  enjoying our delicious spaghetti from the top brands of the highest quality Italian sausages. and the rest of our dishes  all on time. Accompanying your dinner  we have an extensive list of the best Italian & Greek wines  as well as beers from around the world. You can enjoy all our products in your own space  as we offer you a free distribution service
28,Piggy - Πόπουλο,meal_takeaway|restaurant|food|point_of_interest|establishment, We started with a glass of iced Septem - just what we needed for the time being. We chose a portion of roasted mushrooms and  avoiding the wrapped ones -explained why-  we took a portion of pork chops and a portion of round  which is made in the store  for better quality control. Out of the list  we ordered the salad with avocado  tomato  pesto and manouri. The salad was fantastic and fortunately not at all "mommy". Ripe avocado  good tomato  delicious cheese  and all tied with basil sauce - excellent. The mushrooms were also good  juicy and delicious. The round was also very tasty  as spicy as it should be  to "extinguish" perfectly with the light tzatziki that accompanies it. We were somewhat disappointed with the steaks  which  despite the enhancement with salt and lemon  remained completely neutral. It may have happened. However  we really enjoyed the salty pies and the homemade french fries that accompany the meat.
29,Saloon Piano Restaurant,restaurant|food|point_of_interest|establishment, Saloon Piano Restaurant in Ilisia is one of the favorite hangouts of Athenians for international cuisine and live music (Piano - Jazz). It has been operating for over three decades  having hosted celebrities who enjoy quality food and impeccable service. The space is special and warm with the red color and the impressive piano dominating  creating an elegant and at the same time retro atmosphere. The menu of Saloon Piano Restaurant includes the most delicious specialties from around the world that will cater to the most demanding foodies. Try asparagus fillet  agar fillet  ou poavr Hadjidakis fillet  turkey but also fine meat from ram steak (sirloin without bones)  schnitzel and juicy burger  fresh seafood  soups and you can taste it in the summer. in the lovely garden of the restaurant.
30,Athens Bar Crawl,bar|restaurant|food|point_of_interest|establishment, Explore the authentic Athens‘ nightlife with our experienced tour guides. Meet travellers from all around the world  taste the Greek way of drinking while dancing the night away in the most popular (rooftop-) bars that the Greek capital has to offer! We take you to 3 bars  1 club. Free shots included in every location  as well as free entrance into the club.
31,nice n easy,cafe|bar|restaurant|food|point_of_interest|establishment, More than anything else  ‘nice n easy’ is a way of life. It’s about food  it’s about people and -maybe the most important of all- it’s about our approach to life itself. Loyal to our farm-to-table philosophy from day one  we obtain the finest organic ingredients  almost exclusively from Greek producers  offering you proudly and responsibly traditional recipes and new delicious suggestions that harmoniously balance the familiar and the modern.
32,Oinopoleion,restaurant|park|liquor_store|food|point_of_interest|store|establishment, Oinopoleion” means “Wine-Shop” in Greek! We are a Wine Restaurant/Tavern and we also keep a retail wine shop for buying wine to go. The wines we serve and sell are exclusively produced by our family owned award winning Winery “Markou Vineyards” located in the Attican wine country! Come and experience authentic old-school atmosphere  the most delicious Greek traditional dishes  live rebetiko music from some of the best Athenian underground musicians and internationally awarded amazing local wines
33,Το Κονάκι  Ταβέρνα,restaurant|food|point_of_interest|establishment, Konaki is a place that as its name suggests we want to become your hangout or your koutoukaki as some others say. So we created a beautiful place to offer wonderful traditional flavors good wine and a pleasant atmosphere to you your company and your family. We are waiting for you!
34,shopping house,shopping_mall|department_store|restaurant|food|point_of_interest|clothing_store|store|establishment,Shopping House started operating in 1999 and is the first department store that follows the logic "shops in a shop" in the southern suburbs.It quickly becomes the "meeting point" of the south  offering customers who visit it the enjoyment of a unique shopping experience.Having passed almost 20 years of successful course  Shopping House has been identified with the concept of Shopping!With 4 floors full of trends  6 500 sq.m. Full of friendly service  Shopping House covers over 45 complete stores and 300 branded brands of women  men and children  clothing and footwear  cosmetics  accessories  toys and household items.
35,beertime,bar|restaurant|food|point_of_interest|establishment, Beertime is a special brewery housed in a listed building in Psyrri. Careful space with details that you discover slowly  turning your gaze around. Special emphasis has been given to the quality of construction: the perfect combination of stone  wood and iron  the handmade furniture  the imposing chandelier with 300 bottles of beer  the cold room and the open kitchen. The atmosphere is hospitable  the environment is relaxed  the service is pleasant. Rock music and specifically from the 60's until today. For more atmospheric moments  choose the cellar with the wooden roof from 1870 and the stone walls  a warm and unique space overlooking the cold room  has its own draft beer taps  is autonomous and perfect equipped for events  exhibitions  parties  etc. What will definitely impress you is the fact that in its menu you will find all the beers of the Greek small breweries (it has exclusively the fresh beer Harma in a barrel from the Chania Brewery). It has a wide variety of lagers and weiss  the best choices from Bavarian breweries  as well as the most representative from countries such as Scotland  America  France  Belgium  the Netherlands  Ireland  Russia  Turkey and the United Kingdom. Its strong papers are the quality beers from all the monasteries in Germany. In the menu you will also find non alcoholic  gluten free and fruit beers  while next to each beer there is a short taste description as well as its ranking in the official menu of ratebeer
36,Archontiko,restaurant|food|point_of_interest|establishment, Greek traditional cuisine served in a cosy-interesting space at Marousi or delivered at your door at reasonable prices.
38,Θέατρο Τρένο Στο Ρουφ,cafe|bar|restaurant|food|point_of_interest|establishment, The "Wagon-Restaurant" is a restored pre-war dining car  which is now a restaurant. Guests can enjoy a delicious greek- mediterranean meal in the authentic  romantic atmosphere of a bygone era -in special evenings with live music. They can also visit the art installations  exhibitions and innovative artistic events being held here. - The Wagon Bar is an old wooden cargo  used to transport "eight horses and twenty men" during the Second World War. Nowadays it opens as a bar until late at night  with music  DJs  drinks and snacks. It also often hosts site-specific performances. In this atmospheric and cosy wagon guests can enjoy a drink  meet the artists from the various performances or can even hold a party
39,Jimmy's Coffee Shop,cafe|restaurant|food|point_of_interest|establishment, Since 1981 we have been building strong bonds with our customers and we continue to take care of their every pleasure.Our love for quality coffee and the high quality of services in restaurants created the need for us to offer the Athenian public a place where they can enjoy their coffee and food on the most famous pedestrian street in the city.
40,Μπακαράτ,bar|point_of_interest|establishment, Every return to Paris is a search for aromas  flavors and even textures that have engraved this  the most beautiful of cities  in my heart. I often find myself looking for the smells of urban bistro specialties. Those escargot bourguignon stuffed with a fragrant sauce with oil  garlic and parsley  duck orange and the simple but perfect steak frites  with the finely chopped crispy potatoes. I remember a pianist in Montmartre with a piano and a singer who  if you closed your eyes  thought you were listening to Edith Piaf. I have a sweet memory dressed in red from this store. And it had almost faded in my memory until the other day I found myself in a new restaurant in Metaxourgeio that reminded me a lot. On a street behind Avdi Square  a special corner of Athens  where cozy restaurants and bars with brothels and internet cafes with foreigners coexist. A beautiful neighborhood  which is now being formed by acquiring hangouts. So here I discovered a small restaurant with a bright red character  black touches and elements  such as chandeliers  gold frames  wallpapers and the bar  which give it a slightly "cabaret" character. A jazz trio accompanies a very good singer with swing  bossa nova and jazz rhythms
41,Κραντζ,bar|point_of_interest|establishment, Serving Alcohol  Free WiFi  Credit Cards Accepted  Dog Friendly Breakfast  Lunch  Dinner  Brunch  Drinks
42,FEVER G,night_club|bar|point_of_interest|establishment, FEVER opened its doors in 1999 as the largest space in Greece and since then is part of the constant choices of winter entertainment. For more than 10 years now are attributed to its collaborations with renowned artists with very large productions. FEVER is located on Syggrou and Lagoumitzi streets  extends to 2000 sq.m. in a comfortable and modern environment  with autonomous parking  specialized multi-member staff  rich international cuisine and 24-hour telephone customer service
43,Gazarte,movie_theater|tourist_attraction|book_store|bar|point_of_interest|store|establishment, With our team we share the same values the same ambitions and the same dreams. With a common vision consistency and dedication we all work to create a cultural center that allows artists to realize their vision and offers visitors a unique artistic program high quality services and unforgettable experiences.
44,Cabaret Voltaire,bar|point_of_interest|establishment, Cabaret Voltaire hosts the dance-theater performance "Bar" by Electra Arsenidou. This is a fresh sentence  which treats movement and speech as "intriguing" means of expression. It is a work full of upheavals  where the synergy of the simple weaving of events and the uninterrupted manifestation of emotions serves the realization of situations that we have all experienced or could face in such a place. Of course  in this show  everyday life meets the absurd and the bar is used as a stage space  hiding place  background and place of birth of events. A play studded with strong surreal elements  bittersweet humor and grotesque characters  which forces us to wear colored glasses for a while. After all  a bar is nothing more than a distorted rendition of morning reality. The role of the audience is also catalytic  as several times it defines the speed and style of the plot. We are all part of the game and the scene is everywhere. In conclusion  the "Bar" is characterized by a "discreet" interactive development  which as it unfolds reveals the loneliness  the unexpected and the farce of life. A show that is definitely worth seeing.
45,Ιπποπόταμος,bar|point_of_interest|establishment, Bubble: Happy rock bar! Perfect music choices by the DJ & friendly stuff! Vintage decoration  pop corn with your drink and delicious white sangria (5 €). Normal prices in general. Lovely!
46,ΑΓΚΥΡΑ Δ. Α. ΠΑΠΑΔΗΜΗΤΡΙΟΥ Α.Β.Ε.Ε.,night_club|bar|point_of_interest|establishment,
47,Big bar,bar|point_of_interest|establishment, Big bar since 2004 the 1st bear bar located in Votanikos Gazi area in Athens into drag scene without entry fee offer coffe and garden monthly themed parties   karaoke nights   bingo and drag shows   international music and guest DJ s   Bear parties
48,ΤΟ ΤΡΙΚΥΚΛΟ ΚΑΦΕ-ΜΕΖΕΔΟΠΩΛΕΙΟ-TO TRIKYKLO,cafe|bar|restaurant|food|point_of_interest|establishment, We wanted to make our passion our profession and shareit with everyone In this big town  in order to meet each other  we have to arrange it ahead of time. We wanted to change this by creating a hangout We wanted to bring people closer to taste  closer to music  closer to one another We put 3 wheels on our vehicle and started our journey in 1997. And we are still moving From the beginning our moto was : You eat what we eat  you drink what we drink It still is !
49,The Drugstore 1,bar|restaurant|food|point_of_interest|establishment, 
50,HOXTON,bar|cafe|food|point_of_interest|establishment 
51,RAKOMELO - ΤΟ ΡΑΚΟΜΕΛΟ,bar|cafe|food|point_of_interest|establishment,Rakomelo was born in Ilioupoli in a stone house of '29 in December 2006. Colorful and aromatic artistic hangout with a capacity of 50-60 people who loves traditional spirits fusion Greek cuisine based on rakomelo Greek and world quality music
52,Saint George Bar,bar|point_of_interest|establishment,In the beautiful square in Athens next to the church of Agios Georgios ... nice decoration awesome music. As long as the weather allows sit outside comfortably and enjoy your drink
53,Κρασοπενιές Summer - Μουσικό Μεζεδοπωλείο,bar|restaurant|food|point_of_interest|establishment,Gastronomic feast !! Greek cuisine appetizers dishes dishes carefully executed sweets for all tastes. If you still want to drink your drink and have fun you are also welcome.
54,Litharia,bar|restaurant|food|point_of_interest|establishment,An atmospheric Brewery that concentrates the charm of an old stone house of 1927. The stone the wood the earth tones warm the space and create a friendly elegant environment that inspires. bison ginger with Madagascar green pepper and delicious pork shank that melts in your mouth. Continue your delicious enjoyment with ostrich fillets grilled wild boar fillet with mushrooms and bacon or turkey steaks marinated in lemon oil. In summer tables come out in the green cool.
55,O&B Athens All Day Bar Restaurant,restaurant|cafe|bar|food|point_of_interest|store|establishment,In the heart of a city full of life in one of its most "interesting" neighborhoods the O&B Athens All Day Bar Restaurant invites and challenges the residents and visitors of Athens to taste its special flavors. The atmospheric lighting the refined decoration the special environment and the friendly service make the O&B a unique choice for your meal and drink. Separate dishes created with high quality ingredients paired with carefully selected wines and drinks. Greek traditional flavors are redefined in the light of modern cooking and are presented to friends of good food always with a high level
56,Kibubu Music Bar,bar|point_of_interest|establishment,From the moment you enter the entrance of Kibubu Music Bar one thing is necessary: ​​to leave your senses free and enjoy the music choices of the DJ the delicious cocktails of the bar and the hospitable service that will make you visit this unique place again and again.
57,EXCALIBUR BAR,bar|night_club|point_of_interest|establishment, Excalibur opened its gates in 2004  offering unique evenings full of music from the whole range of rock in a friendly space with a medieval atmosphere suitable for modern knights with an authentic rock view. With a daily program by a dj group but also surprises such as live  special nights  parties as well as the famous Sunday afternoons with a piglet in oil paste  the castle of rock music holds up well and is called Excalibur!
58,Elaea Mezedadiko,cafe|bar|restaurant|food|point_of_interest|store|establishment, Greek Traditional cuisine Located opposite the Acropolis Museum Packed Food  Reservations  Outdoor Seating  Buffet  Seats  Wheelchairs Available  Wheelchair Accessible  Full Bar  Wine & Beer  Mastercard Accepts  Visa Accepted  Free Wi-Fi  Free Wi-Fi
59,TALL'S TOY,bar|cafe|food|point_of_interest|establishment,The "tall" of Karytsi spreads his toys in one of the most historic galleries of the old commercial triangle creating one of the most cozy urban atmospheres of the center. Full of warmth well-made coffee hot chocolates and healing herbs.
60,BEER GARDEN RITTERBURG,bar|restaurant|food|point_of_interest|establishment,Stone and light wood in a classic style with some traditional touches but not a particularly heavy space that has been representing German (mainly Bavarian) cuisine in Athens for years turning here and there to Austria. Kasslerbraten pork schnitzel and not only come in large portions while there are also plates / varieties to accompany your beer.
61,EN FLYA,bar|cafe|food|point_of_interest|store|establishment,All day bar that in addition to coffee juices and drinks offers salads of all kinds (excluding those of fruit) and gourmet dishes with pure ingredients to accompany the beer or tsipouro. In general food pairing is sought after and very careful even for whiskey there is the appropriate meze in order to "tie" harmoniously with its taste. 
62,ROCKWOOD,bar|point_of_interest|establishment,A small treasure in the heart of Athens! A beautiful and cozy place a classic hangout of Athenians for eating coffee beer or a drink next to the Archaeological Museum and just 5 minutes from the Victoria power station
63,Silly Wizards Pub,bar|liquor_store|restaurant|food|point_of_interest|store|establishment,Silly Wizards is at the top of the pantheon of domestic pubs - not only because it was one of the first nor because its range will satisfy even the most demanding beer lover - but because it managed to create its own legend because people have fallen in love there because it has hosted subversively wedding tables (with guiness stew for mainly!) because it always stays up to date because it is timelessly cool. Because the hospitality here experiences an ideal version and because it promotes decompression relaxation breaks from everyday life and all kinds of friendly gatherings in one of the most intimate places in Athens. From the hottest
64,My Friends Cafe,cafe|bar|food|point_of_interest|store|establishment, My Friends Café is a family business and has been operating since 2010. It is an Espresso bar unique in its kind as it serves only the best Arabica coffees that are roasted by us every day. We import only ARABICA green coffee from all over the world and only Specialty varieties. The coffee is roasted daily in order to have the best quality and freshness for our customers. We do not use any preservatives or chemicals in the preparation or packaging of our coffee. Enjoy the best coffee at home. Ask us to grind the mixture of your choice !! My Friends Cafe is the perfect place to enjoy your morning coffee  watch the latest news or have a quick meal. Everyday life at My Friends Café is enjoyable and full of passion for coffee with friends  family and colleagues. My Friends Cafe also offers a variety of salads  baguettes  club sandwiches  sweets and much more. Relax with a newspaper or magazine and enjoy your gourmet coffee. 
65,GhostHouse,night_club|bar|point_of_interest|establishment, What your ears will hear and your eyes will see you will not find WHERE !!! Because it is fun  you have a good time with the spas and it will be unforgettable! Because it is the Mecca of Athenian karaoke where every night it turns into a varied live program with enthusiastic spectators and voices of all levels where you will experience surreal situations  you will enjoy rock bands  skylights  artful craft flags  but also an unbelievably unique stage presence! Because in the final it is the ABSOLUTE AKHTARMAS and by far the No1 karaoke of the city! The other side of the fun the Ghost Karaoke Show plays every Friday-Saturday & Sunday in the most cult scene of Athens the Ghost House and it is worth to see and experience it for one night!
66,A LIAR MAN,bar|point_of_interest|establishment, It is a beautiful shop  well hidden in the quiet alley  two steps from the metro station 'Kerameikos'. It is housed in an old Athenian house  which has been completely renovated keeping the old layout intact. The interior is amazingly decorated. Beautiful paintings and photos on the walls  colorful lighting and small decorations scattered in every corner. The floor is covered by a beautiful mosaic made of small pebbles  giving the feeling that you are on an island. The space is divided into three rooms  the negative is that the configuration does not serve much  as a result of which you are not allowed to move a chair and most of the time you are a little cramped. evening outings. 
67,Malvazia,restaurant|bar|food|point_of_interest|establishment, In the space  the impressions are stolen by the traditional architecture that unfolds the graces of the stone. As soon as it smells like summer  the glass roof opens and coordinates you with the starry Attic sky  the surrounding trees and the abundant plants. The relaxed and pleasant atmosphere is enhanced by the candles whose flame flickers  adding a romantic note. The menu takes you on the delicious paths of Greece. The fresh herbs and ingredients of the season are ideally combined  highlighting their virtues in every dish.
68,sempre coffee & cocktail bar,cafe|bar|food|point_of_interest|store|establishment, If you have wanted really good coffee made with taste then you just have to hurry to Semper. For ten years he has stood out for his willingness for constant renewal and of course for his coffee and his expertise in what makes him without exaggeration one of the best if not the best coffee in town. Always choosing our best coffee blends  they serve it at the right temperature to highlight all its aroma and taste.
69,Avant Garde,bar|restaurant|food|point_of_interest|establishment, The modern wine bar restaurant AVANT GARDE offers a complete gastronomic proposal with modern creative and pioneering cuisine from French influences and high quality raw materials. A place of unique aesthetics and minimal design where you can enjoy the gastronomic creations during the day and at night. It is worth noting that the AVANT GARDE transforms over time. You can enjoy a wonderful meal early in the afternoon and later have fun drinking your drink… So the visitor can choose between a delicious lunch or a full dinner curated by renowned chefs Paris Delidis (48 the restaurant) and Giannis Loutsis (Asteras Vouliagmenis). An all day spot suitable for business meetings and meals  fun side nights and romantic moments. 
70,Crescento Bar,bar|cafe|restaurant|food|point_of_interest|establishment, The cafe-bar Crescento is located at the intersection of Petraki 1 & Voulis 22 streets in the center of Athens  in Syntagma. We are waiting for you to enjoy your coffee or drink. 
71,MAUZAC,restaurant|cafe|bar|food|point_of_interest|establishment, The word that describes it is "loose". And comfortable. Simply elegant with pleasant music from the international scene and a wonderful garden where the "brave" can now enjoy their evening drink on the comfortable sofas.
72,The Wee Dram Scottish Pub,bar|restaurant|food|point_of_interest|establishment, It brings an atmosphere directly from Scotland while you are in Athens! Based on Scotland themed decor nice beers whiskey after a snack or a pizza! Screens on which you can enjoy football games especially those of the British and European leagues.
